# step  reward  validity
# model=llama-3.2-1b  task=T2  seed=seed_42
# classification=sustained  size_group=small
830  2.0000  1.0000
831  2.0000  1.0000
832  2.0000  1.0000
833  2.0000  1.0000
834  2.0000  1.0000
835  2.0000  1.0000
836  2.0000  1.0000
837  2.0000  1.0000
838  2.0000  1.0000
839  2.0000  1.0000
840  2.0000  1.0000
841  2.0000  1.0000
842  2.0000  1.0000
843  2.0000  1.0000
844  2.0000  1.0000
845  2.0000  1.0000
846  2.0000  1.0000
847  2.0000  1.0000
848  1.9600  0.9800
849  1.9600  0.9800
850  1.9600  0.9800
851  1.9600  0.9800
852  1.9600  0.9800
853  1.9600  0.9800
854  1.9600  0.9800
855  1.9600  0.9800
856  1.9600  0.9800
857  1.9600  0.9800
858  1.9600  0.9800
859  1.9600  0.9800
860  1.9600  0.9800
861  1.9600  0.9800
862  1.9600  0.9800
863  1.9600  0.9800
864  1.9600  0.9800
865  1.9600  0.9800
866  1.9600  0.9800
867  1.9600  0.9800
868  1.9600  0.9800
869  1.9600  0.9800
870  1.9600  0.9800
871  1.9600  0.9800
872  1.9600  0.9800
873  1.9600  0.9800
874  1.9600  0.9800
875  1.9600  0.9800
876  1.9600  0.9800
877  1.9600  0.9800
878  1.9600  0.9800
879  1.9600  0.9800
880  1.9600  0.9800
881  1.9600  0.9800
882  1.9600  0.9800
883  1.9600  0.9800
884  1.9600  0.9800
885  1.9600  0.9800
886  1.9600  0.9800
887  1.9600  0.9800
888  1.9600  0.9800
889  1.9600  0.9800
890  1.9600  0.9800
891  1.9600  0.9800
892  1.9600  0.9800
893  1.9600  0.9800
894  1.9600  0.9800
895  1.9600  0.9800
896  1.9600  0.9800
897  1.9600  0.9800
898  2.0000  1.0000
899  2.0000  1.0000
900  2.0000  1.0000
901  2.0000  1.0000
902  2.0000  1.0000
903  2.0000  1.0000
904  2.0000  1.0000
905  2.0000  1.0000
906  2.0000  1.0000
907  2.0000  1.0000
908  2.0000  1.0000
909  2.0000  1.0000
910  2.0000  1.0000
911  2.0000  1.0000
912  2.0000  1.0000
913  2.0000  1.0000
914  2.0000  1.0000
915  2.0000  1.0000
916  2.0000  1.0000
917  2.0000  1.0000
918  2.0000  1.0000
919  2.0000  1.0000
920  2.0000  1.0000
921  2.0000  1.0000
922  2.0000  1.0000
923  2.0000  1.0000
924  2.0000  1.0000
925  2.0000  1.0000
926  2.0000  1.0000
927  2.0000  1.0000
928  2.0000  1.0000
929  2.0000  1.0000
930  2.0000  1.0000
931  2.0000  1.0000
932  2.0000  1.0000
933  2.0000  1.0000
934  2.0000  1.0000
935  2.0000  1.0000
936  2.0000  1.0000
937  2.0000  1.0000
938  2.0000  1.0000
939  2.0000  1.0000
940  2.0000  1.0000
941  2.0000  1.0000
942  2.0000  1.0000
943  2.0000  1.0000
944  2.0000  1.0000
