# step  reward  validity
# model=gemma-2-9b  task=Mixed  seed=seed_42
# classification=sustained  size_group=large
924  1.4400  0.7200
925  1.4400  0.7200
926  1.4000  0.7000
927  1.4000  0.7000
928  1.4000  0.7000
929  1.4000  0.7000
930  1.3600  0.6800
931  1.4000  0.7000
932  1.3600  0.6800
933  1.3600  0.6800
934  1.3600  0.6800
935  1.3600  0.6800
936  1.4000  0.7000
937  1.4000  0.7000
938  1.4000  0.7000
939  1.4400  0.7200
940  1.4000  0.7000
941  1.4400  0.7200
942  1.4800  0.7400
943  1.5200  0.7600
944  1.5200  0.7600
945  1.5600  0.7800
946  1.5600  0.7800
947  1.5600  0.7800
948  1.5600  0.7800
949  1.5200  0.7600
950  1.5200  0.7600
951  1.5200  0.7600
952  1.5200  0.7600
953  1.5600  0.7800
954  1.5200  0.7600
955  1.5200  0.7600
956  1.4800  0.7400
957  1.4800  0.7400
958  1.4800  0.7400
959  1.4400  0.7200
960  1.4400  0.7200
961  1.4400  0.7200
962  1.4000  0.7000
963  1.4000  0.7000
964  1.4400  0.7200
965  1.4400  0.7200
966  1.4800  0.7400
967  1.5200  0.7600
968  1.5200  0.7600
969  1.4800  0.7400
970  1.4800  0.7400
971  1.4800  0.7400
972  1.4800  0.7400
973  1.4800  0.7400
974  1.4800  0.7400
975  1.4800  0.7400
976  1.5200  0.7600
977  1.4800  0.7400
978  1.4800  0.7400
979  1.4800  0.7400
980  1.5200  0.7600
981  1.5200  0.7600
982  1.5600  0.7800
983  1.5600  0.7800
984  1.5600  0.7800
985  1.5600  0.7800
986  1.5600  0.7800
987  1.5200  0.7600
988  1.4800  0.7400
989  1.4800  0.7400
990  1.5200  0.7600
991  1.5200  0.7600
992  1.5200  0.7600
993  1.5200  0.7600
994  1.5600  0.7800
995  1.5600  0.7800
996  1.5600  0.7800
997  1.5600  0.7800
998  1.6000  0.8000
999  1.6400  0.8200
