# step  reward  validity
# model=llama-3.2-1b  task=Mixed  seed=seed_42
# classification=transient  size_group=small
369  0.6800  0.3400
370  0.6400  0.3200
371  0.6800  0.3400
372  0.7200  0.3600
373  0.7600  0.3800
374  0.8000  0.4000
375  0.7600  0.3800
376  0.8000  0.4000
377  0.8400  0.4200
378  0.8800  0.4400
379  0.8800  0.4400
380  0.8800  0.4400
381  0.8800  0.4400
382  0.8800  0.4400
383  0.9200  0.4600
384  0.9200  0.4600
385  0.9600  0.4800
386  0.9200  0.4600
387  0.9200  0.4600
388  0.9600  0.4800
389  0.9600  0.4800
390  0.9200  0.4600
391  0.8800  0.4400
392  0.8400  0.4200
393  0.8000  0.4000
394  0.8000  0.4000
395  0.8000  0.4000
396  0.8000  0.4000
397  0.8000  0.4000
398  0.7600  0.3800
399  0.7600  0.3800
400  0.8000  0.4000
401  0.8400  0.4200
402  0.8800  0.4400
403  0.8400  0.4200
404  0.8400  0.4200
405  0.8800  0.4400
406  0.9200  0.4600
407  0.9600  0.4800
408  1.0000  0.5000
409  1.0400  0.5200
410  1.0000  0.5000
411  1.0400  0.5200
412  1.0400  0.5200
413  1.0400  0.5200
414  1.0400  0.5200
415  1.0800  0.5400
416  1.0400  0.5200
417  1.0400  0.5200
418  1.0400  0.5200
419  1.0800  0.5400
420  1.1200  0.5600
421  1.1200  0.5600
422  1.1200  0.5600
423  1.1200  0.5600
424  1.1200  0.5600
425  1.1600  0.5800
426  1.1200  0.5600
427  1.1200  0.5600
428  1.1200  0.5600
429  1.1600  0.5800
430  1.1200  0.5600
431  1.1200  0.5600
432  1.1200  0.5600
433  1.1200  0.5600
434  1.0800  0.5400
435  1.0800  0.5400
436  1.0800  0.5400
437  1.0800  0.5400
438  1.0800  0.5400
439  1.1200  0.5600
440  1.1200  0.5600
441  1.1600  0.5800
442  1.2000  0.6000
443  1.2400  0.6200
444  1.2400  0.6200
445  1.2800  0.6400
446  1.3200  0.6600
447  1.3200  0.6600
448  1.3200  0.6600
449  1.2800  0.6400
450  1.2800  0.6400
451  1.2800  0.6400
452  1.2400  0.6200
453  1.2400  0.6200
454  1.2000  0.6000
455  1.2000  0.6000
456  1.1600  0.5800
457  1.1600  0.5800
458  1.1600  0.5800
459  1.1200  0.5600
460  1.1600  0.5800
461  1.1600  0.5800
462  1.1600  0.5800
463  1.1600  0.5800
464  1.2000  0.6000
465  1.2000  0.6000
466  1.2000  0.6000
467  1.2400  0.6200
468  1.2000  0.6000
469  1.1600  0.5800
470  1.1600  0.5800
471  1.1600  0.5800
472  1.1600  0.5800
473  1.1200  0.5600
474  1.0800  0.5400
475  1.0800  0.5400
476  1.1200  0.5600
477  1.0800  0.5400
478  1.0800  0.5400
479  1.0800  0.5400
480  1.1200  0.5600
481  1.1600  0.5800
482  1.2000  0.6000
483  1.1600  0.5800
484  1.2000  0.6000
485  1.2000  0.6000
486  1.2000  0.6000
487  1.2000  0.6000
488  1.1600  0.5800
489  1.1600  0.5800
490  1.1600  0.5800
491  1.1600  0.5800
492  1.1600  0.5800
493  1.1600  0.5800
494  1.2000  0.6000
495  1.2000  0.6000
496  1.2000  0.6000
497  1.2000  0.6000
498  1.2400  0.6200
499  1.2800  0.6400
500  1.2800  0.6400
501  1.2800  0.6400
502  1.3200  0.6600
503  1.3600  0.6800
504  1.4000  0.7000
505  1.4000  0.7000
506  1.4400  0.7200
507  1.4000  0.7000
508  1.4000  0.7000
509  1.4400  0.7200
