# step  reward  validity
# model=qwen3-4b  task=Mixed  seed=seed_42
# classification=sustained  size_group=medium
514  1.8400  0.9200
515  1.8400  0.9200
516  1.8400  0.9200
517  1.8400  0.9200
518  1.8400  0.9200
519  1.8800  0.9400
520  1.8800  0.9400
521  1.8800  0.9400
522  1.8800  0.9400
523  1.8800  0.9400
524  1.8800  0.9400
525  1.8400  0.9200
526  1.8400  0.9200
527  1.8400  0.9200
528  1.8400  0.9200
529  1.8400  0.9200
530  1.8400  0.9200
531  1.8400  0.9200
532  1.8400  0.9200
533  1.8400  0.9200
534  1.8400  0.9200
535  1.8400  0.9200
536  1.8400  0.9200
537  1.8400  0.9200
538  1.8400  0.9200
539  1.8400  0.9200
540  1.8400  0.9200
541  1.8400  0.9200
542  1.8400  0.9200
543  1.8400  0.9200
544  1.8400  0.9200
545  1.8400  0.9200
546  1.8400  0.9200
547  1.8400  0.9200
548  1.8400  0.9200
549  1.8400  0.9200
550  1.8400  0.9200
551  1.8400  0.9200
552  1.8400  0.9200
553  1.8400  0.9200
554  1.8400  0.9200
555  1.8400  0.9200
556  1.8400  0.9200
557  1.8400  0.9200
558  1.8400  0.9200
559  1.8400  0.9200
560  1.8800  0.9400
561  1.9200  0.9600
562  1.9200  0.9600
563  1.9200  0.9600
564  1.9600  0.9800
565  1.9600  0.9800
566  1.9600  0.9800
567  1.9600  0.9800
568  1.9600  0.9800
569  1.9200  0.9600
570  1.9200  0.9600
571  1.8800  0.9400
572  1.8800  0.9400
573  1.8800  0.9400
574  1.8400  0.9200
575  1.8800  0.9400
576  1.8800  0.9400
577  1.8800  0.9400
578  1.8800  0.9400
579  1.8800  0.9400
580  1.8800  0.9400
581  1.8800  0.9400
582  1.8800  0.9400
583  1.8800  0.9400
584  1.8800  0.9400
585  1.8400  0.9200
586  1.8400  0.9200
587  1.8400  0.9200
588  1.8000  0.9000
589  1.8000  0.9000
590  1.8000  0.9000
591  1.8000  0.9000
592  1.8000  0.9000
593  1.8000  0.9000
594  1.8000  0.9000
595  1.8000  0.9000
596  1.8000  0.9000
597  1.8000  0.9000
598  1.8000  0.9000
599  1.8000  0.9000
600  1.8000  0.9000
601  1.8000  0.9000
602  1.8000  0.9000
603  1.8000  0.9000
604  1.8000  0.9000
605  1.8000  0.9000
606  1.8000  0.9000
607  1.8000  0.9000
608  1.8000  0.9000
609  1.8000  0.9000
610  1.8000  0.9000
611  1.8000  0.9000
612  1.8000  0.9000
613  1.8000  0.9000
614  1.8000  0.9000
615  1.7600  0.8800
616  1.7200  0.8600
617  1.7200  0.8600
618  1.7200  0.8600
619  1.7600  0.8800
620  1.7600  0.8800
621  1.8000  0.9000
622  1.7600  0.8800
623  1.7600  0.8800
624  1.8000  0.9000
625  1.8000  0.9000
626  1.8000  0.9000
627  1.8000  0.9000
628  1.8000  0.9000
629  1.8000  0.9000
630  1.8000  0.9000
631  1.8000  0.9000
632  1.8000  0.9000
633  1.7600  0.8800
634  1.7600  0.8800
635  1.8000  0.9000
636  1.8000  0.9000
637  1.8000  0.9000
638  1.8400  0.9200
639  1.8400  0.9200
640  1.8400  0.9200
641  1.8400  0.9200
642  1.8400  0.9200
643  1.8400  0.9200
644  1.8400  0.9200
645  1.8400  0.9200
646  1.8000  0.9000
647  1.8000  0.9000
648  1.8000  0.9000
649  1.7600  0.8800
650  1.7600  0.8800
651  1.7600  0.8800
652  1.7200  0.8600
653  1.7200  0.8600
654  1.7200  0.8600
655  1.7200  0.8600
656  1.7200  0.8600
657  1.7200  0.8600
658  1.6800  0.8400
659  1.6800  0.8400
660  1.6800  0.8400
661  1.6800  0.8400
662  1.6800  0.8400
663  1.6800  0.8400
664  1.6800  0.8400
665  1.7200  0.8600
666  1.7600  0.8800
667  1.7600  0.8800
668  1.7600  0.8800
669  1.7600  0.8800
670  1.7600  0.8800
671  1.7600  0.8800
672  1.7600  0.8800
673  1.7600  0.8800
674  1.7600  0.8800
675  1.7600  0.8800
676  1.7600  0.8800
677  1.7600  0.8800
678  1.7600  0.8800
679  1.7200  0.8600
680  1.7200  0.8600
681  1.7200  0.8600
682  1.7200  0.8600
683  1.7600  0.8800
684  1.7600  0.8800
685  1.7600  0.8800
686  1.7600  0.8800
687  1.7600  0.8800
688  1.7600  0.8800
689  1.7600  0.8800
690  1.7600  0.8800
691  1.7600  0.8800
692  1.7600  0.8800
693  1.7600  0.8800
694  1.7600  0.8800
695  1.7600  0.8800
696  1.8000  0.9000
697  1.8000  0.9000
698  1.8000  0.9000
699  1.8000  0.9000
700  1.8000  0.9000
701  1.8000  0.9000
702  1.8400  0.9200
703  1.8400  0.9200
704  1.8400  0.9200
705  1.8000  0.9000
706  1.8000  0.9000
707  1.8000  0.9000
708  1.8400  0.9200
709  1.8400  0.9200
710  1.8400  0.9200
711  1.8400  0.9200
712  1.8000  0.9000
713  1.8000  0.9000
714  1.8000  0.9000
715  1.8000  0.9000
716  1.8000  0.9000
717  1.7600  0.8800
718  1.7200  0.8600
719  1.7200  0.8600
720  1.7200  0.8600
721  1.7200  0.8600
722  1.7600  0.8800
723  1.7600  0.8800
724  1.7600  0.8800
725  1.7600  0.8800
726  1.7600  0.8800
727  1.7600  0.8800
728  1.7600  0.8800
729  1.7600  0.8800
730  1.7200  0.8600
731  1.6800  0.8400
732  1.6800  0.8400
733  1.6800  0.8400
734  1.6800  0.8400
735  1.6800  0.8400
736  1.6800  0.8400
737  1.6400  0.8200
738  1.6400  0.8200
739  1.6400  0.8200
740  1.6000  0.8000
741  1.6000  0.8000
742  1.6000  0.8000
743  1.6000  0.8000
744  1.6000  0.8000
745  1.6000  0.8000
746  1.6000  0.8000
747  1.5600  0.7800
748  1.5600  0.7800
749  1.6000  0.8000
750  1.6000  0.8000
751  1.5600  0.7800
752  1.5600  0.7800
753  1.5600  0.7800
754  1.5600  0.7800
755  1.6000  0.8000
756  1.6000  0.8000
757  1.6000  0.8000
758  1.6000  0.8000
759  1.6000  0.8000
760  1.6000  0.8000
761  1.6000  0.8000
762  1.6400  0.8200
763  1.6400  0.8200
764  1.6400  0.8200
765  1.6400  0.8200
766  1.6000  0.8000
767  1.6400  0.8200
768  1.6800  0.8400
769  1.6800  0.8400
770  1.6800  0.8400
771  1.6800  0.8400
772  1.6800  0.8400
773  1.6800  0.8400
774  1.6800  0.8400
775  1.6800  0.8400
776  1.6800  0.8400
777  1.6800  0.8400
778  1.6800  0.8400
779  1.7200  0.8600
780  1.7600  0.8800
781  1.8000  0.9000
782  1.8000  0.9000
783  1.8000  0.9000
784  1.8000  0.9000
785  1.8000  0.9000
786  1.8000  0.9000
787  1.8400  0.9200
788  1.8400  0.9200
789  1.8400  0.9200
790  1.8800  0.9400
791  1.8800  0.9400
792  1.8800  0.9400
793  1.8400  0.9200
794  1.8400  0.9200
795  1.8400  0.9200
796  1.8400  0.9200
797  1.8800  0.9400
798  1.8800  0.9400
799  1.8800  0.9400
800  1.8800  0.9400
801  1.9200  0.9600
802  1.9200  0.9600
803  1.9200  0.9600
804  1.9200  0.9600
805  1.9200  0.9600
806  1.9200  0.9600
807  1.9200  0.9600
808  1.9200  0.9600
809  1.9200  0.9600
810  1.9200  0.9600
811  1.9200  0.9600
812  1.9200  0.9600
813  1.9200  0.9600
814  1.8800  0.9400
815  1.8800  0.9400
816  1.9200  0.9600
817  1.9200  0.9600
818  1.9200  0.9600
819  1.9200  0.9600
820  1.9200  0.9600
821  1.9200  0.9600
822  1.8800  0.9400
823  1.8800  0.9400
824  1.8800  0.9400
825  1.8800  0.9400
826  1.8800  0.9400
827  1.8400  0.9200
828  1.8000  0.9000
829  1.8000  0.9000
830  1.8000  0.9000
831  1.7600  0.8800
832  1.7200  0.8600
833  1.7200  0.8600
