step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
390  0.9933  0.0094  1.0000  0.0000  0.8267  0.1746  0.0067  0.0094  0.9867  0.0189  0.9600  0.0327  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
400  1.0000  0.0000  1.0000  0.0000  0.8400  0.1296  0.0000  0.0000  0.9867  0.0189  0.9533  0.0249  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  0.9867  0.0094
410  0.9867  0.0094  0.9933  0.0094  0.8667  0.1062  0.0000  0.0000  0.9933  0.0094  0.9533  0.0094  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  0.9800  0.0163
420  0.9867  0.0094  0.9933  0.0094  0.9200  0.0566  0.0000  0.0000  0.9933  0.0094  0.9600  0.0000  0.6667  0.4714  0.9933  0.0094  0.9933  0.0094  0.9800  0.0163
430  0.9600  0.0163  0.9733  0.0094  0.9000  0.1020  0.0000  0.0000  1.0000  0.0000  0.9267  0.0249  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  0.9800  0.0163
440  0.9600  0.0163  0.9733  0.0094  0.8933  0.1370  0.0000  0.0000  1.0000  0.0000  0.9267  0.0249  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  0.9800  0.0163
450  0.9600  0.0163  0.9733  0.0094  0.9067  0.1320  0.0000  0.0000  1.0000  0.0000  0.9333  0.0249  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  0.9933  0.0094
460  0.9600  0.0163  0.9800  0.0000  0.8933  0.1508  0.0000  0.0000  1.0000  0.0000  0.9400  0.0283  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
470  0.9533  0.0094  0.9800  0.0000  0.8933  0.1508  0.0000  0.0000  0.9933  0.0094  0.9267  0.0471  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  1.0000  0.0000
480  0.9800  0.0163  1.0000  0.0000  0.9400  0.0849  0.0000  0.0000  0.9933  0.0094  0.9667  0.0249  0.6600  0.4668  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
490  0.9800  0.0163  1.0000  0.0000  0.9400  0.0566  0.0000  0.0000  0.9933  0.0094  0.9667  0.0249  0.6600  0.4668  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
500  0.9800  0.0163  1.0000  0.0000  0.9200  0.0490  0.0000  0.0000  0.9933  0.0094  0.9733  0.0189  0.6600  0.4668  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000
510  0.9933  0.0094  1.0000  0.0000  0.8800  0.0748  0.0000  0.0000  0.9933  0.0094  0.9667  0.0249  0.6600  0.4668  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000
520  0.9867  0.0094  1.0000  0.0000  0.7667  0.1517  0.0000  0.0000  1.0000  0.0000  0.9733  0.0249  0.6600  0.4668  0.9933  0.0094  0.9933  0.0094  0.9933  0.0094
530  0.9733  0.0189  1.0000  0.0000  0.6800  0.2160  0.0000  0.0000  1.0000  0.0000  0.9667  0.0094  0.6667  0.4714  0.9867  0.0189  0.9933  0.0094  0.9867  0.0189
540  0.9600  0.0283  0.9800  0.0000  0.6467  0.2715  0.0000  0.0000  1.0000  0.0000  0.9400  0.0163  0.6667  0.4714  0.9733  0.0377  1.0000  0.0000  0.9800  0.0283
550  0.9600  0.0283  0.9800  0.0000  0.6533  0.2542  0.0000  0.0000  1.0000  0.0000  0.9400  0.0163  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  0.9800  0.0283
560  0.9400  0.0283  0.9800  0.0000  0.7200  0.2046  0.0000  0.0000  1.0000  0.0000  0.9467  0.0189  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  0.9800  0.0283
570  0.9467  0.0249  0.9800  0.0000  0.8333  0.1389  0.0000  0.0000  1.0000  0.0000  0.9467  0.0094  0.6667  0.4714  0.9800  0.0283  1.0000  0.0000  0.9867  0.0189
580  0.9533  0.0094  0.9800  0.0000  0.9133  0.0957  0.0000  0.0000  1.0000  0.0000  0.9533  0.0189  0.6667  0.4714  0.9867  0.0189  0.9933  0.0094  0.9933  0.0094
590  0.9667  0.0094  1.0000  0.0000  0.9600  0.0163  0.0000  0.0000  1.0000  0.0000  0.9867  0.0094  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
600  0.9667  0.0094  1.0000  0.0000  0.9667  0.0189  0.0000  0.0000  1.0000  0.0000  0.9667  0.0249  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
610  0.9867  0.0094  1.0000  0.0000  0.9667  0.0189  0.0000  0.0000  1.0000  0.0000  0.9467  0.0340  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
620  0.9867  0.0094  1.0000  0.0000  0.9533  0.0411  0.0000  0.0000  1.0000  0.0000  0.9333  0.0525  0.6667  0.4714  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
630  0.9933  0.0094  0.9933  0.0094  0.9200  0.0589  0.0000  0.0000  1.0000  0.0000  0.9333  0.0525  0.6667  0.4714  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
640  0.9733  0.0249  0.9933  0.0094  0.8933  0.0822  0.0000  0.0000  1.0000  0.0000  0.9000  0.0864  0.6667  0.4714  0.9867  0.0189  1.0000  0.0000  0.9933  0.0094
