step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std  gemma_3_12b_mean  gemma_3_12b_std
381  0.9800  0.0283  0.9733  0.0189  1.0000  0.0000  0.9600  0.0163  1.0000  0.0000  0.9533  0.0094  0.9667  0.0471  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
391  0.9800  0.0283  0.9733  0.0189  1.0000  0.0000  0.9600  0.0163  1.0000  0.0000  0.9200  0.0163  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
401  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9600  0.0163  1.0000  0.0000  0.9333  0.0189  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
411  0.9933  0.0094  0.9867  0.0094  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000  0.9267  0.0094  0.9733  0.0377  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
421  0.9933  0.0094  0.9867  0.0094  1.0000  0.0000  0.9867  0.0094  1.0000  0.0000  0.9067  0.0189  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
431  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9133  0.0249  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
441  0.9933  0.0094  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9467  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
451  0.9800  0.0163  0.9933  0.0094  1.0000  0.0000  0.9800  0.0163  1.0000  0.0000  0.9267  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
461  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9600  0.0283  0.9933  0.0094  0.9333  0.0094  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000
471  0.9867  0.0189  1.0000  0.0000  1.0000  0.0000  0.9733  0.0249  0.9933  0.0094  0.9600  0.0000  1.0000  0.0000  1.0000  0.0000  1.0000  0.0000  0.9933  0.0094  1.0000  0.0000
