step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
760  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
770  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
780  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
790  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
800  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
810  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
820  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
830  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
840  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  2.0000  0.0000
850  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000  0.0000  0.0000  2.0000  0.0000  2.0000  0.0000  1.3333  0.9428  1.3333  0.9428  2.0000  0.0000  2.0000  0.0000
