step  llama_32_1b_mean  llama_32_1b_std  llama_32_3b_mean  llama_32_3b_std  qwen25_3b_mean  qwen25_3b_std  phi_3_mini_mean  phi_3_mini_std  qwen3_4b_mean  qwen3_4b_std  yi_15_6b_mean  yi_15_6b_std  mistral_7b_v03_mean  mistral_7b_v03_std  ministral_8b_mean  ministral_8b_std  llama_31_8b_mean  llama_31_8b_std  gemma_2_9b_mean  gemma_2_9b_std
570  0.6400  0.0327  0.6733  0.0525  0.7867  0.0943  0.5800  0.0653  0.9600  0.0000  0.5267  0.0525  0.6800  0.0163  0.7867  0.0943  0.6533  0.0411  0.8867  0.0094
580  0.6600  0.0327  0.6733  0.0680  0.7867  0.0806  0.5800  0.0589  0.9400  0.0000  0.5333  0.0618  0.7067  0.0094  0.7867  0.0660  0.6800  0.0432  0.8800  0.0000
590  0.6733  0.0249  0.6533  0.0957  0.7733  0.0618  0.5867  0.0377  0.9067  0.0094  0.5333  0.0618  0.7133  0.0094  0.7733  0.0471  0.6867  0.0340  0.8267  0.0094
600  0.6333  0.0411  0.5800  0.1275  0.7333  0.0618  0.5667  0.0499  0.9067  0.0094  0.5267  0.0680  0.6400  0.0000  0.7267  0.0660  0.6267  0.0471  0.7867  0.0094
610  0.6933  0.0094  0.5933  0.1370  0.7533  0.0618  0.6267  0.0471  0.9067  0.0094  0.5400  0.0490  0.6333  0.0377  0.7467  0.0660  0.6400  0.0589  0.7933  0.0094
620  0.6467  0.0189  0.5333  0.1517  0.7200  0.0712  0.5933  0.0525  0.8867  0.0094  0.4733  0.0754  0.5600  0.0993  0.7133  0.0754  0.6133  0.0411  0.7733  0.0094
630  0.6133  0.0189  0.4800  0.1855  0.7200  0.0712  0.5800  0.0589  0.9000  0.0163  0.4333  0.0772  0.5267  0.1320  0.6733  0.0899  0.5800  0.0327  0.7867  0.0094
640  0.6067  0.0249  0.4533  0.2100  0.7333  0.0772  0.5667  0.0660  0.9133  0.0094  0.3800  0.0490  0.4800  0.1840  0.6733  0.1050  0.5800  0.0432  0.8200  0.0000
650  0.5667  0.0249  0.4000  0.2135  0.6933  0.0822  0.5200  0.0566  0.8733  0.0094  0.3133  0.0525  0.4200  0.2123  0.6333  0.1050  0.5333  0.0377  0.7800  0.0000
660  0.5000  0.0283  0.3067  0.2042  0.6400  0.0816  0.4667  0.0660  0.8333  0.0094  0.2133  0.0838  0.3333  0.2229  0.5533  0.1050  0.4600  0.0490  0.7333  0.0094
670  0.4800  0.0432  0.2867  0.2029  0.6600  0.1071  0.4667  0.0660  0.8733  0.0094  0.1533  0.0618  0.3000  0.2135  0.5467  0.1370  0.4133  0.0499  0.7333  0.0094
680  0.5133  0.0249  0.3133  0.2217  0.6600  0.1071  0.5000  0.0566  0.8600  0.0000  0.1733  0.1050  0.3067  0.2175  0.5933  0.1320  0.4333  0.0499  0.7400  0.0163
690  0.5000  0.0432  0.3200  0.2269  0.6467  0.0929  0.5133  0.0618  0.8733  0.0094  0.1667  0.1370  0.3067  0.2193  0.5933  0.1181  0.4333  0.0471  0.7333  0.0249
700  0.5067  0.0499  0.3400  0.2406  0.6667  0.0984  0.5467  0.0340  0.8867  0.0189  0.1600  0.1558  0.3200  0.2286  0.6000  0.1143  0.4533  0.0340  0.7733  0.0249
710  0.4667  0.0499  0.3400  0.2406  0.6667  0.1147  0.5333  0.0411  0.9067  0.0189  0.1400  0.1414  0.3133  0.2229  0.6133  0.1330  0.4333  0.0377  0.7933  0.0249
720  0.4133  0.0340  0.3067  0.2168  0.5933  0.1062  0.4800  0.0327  0.8467  0.0189  0.1333  0.1603  0.2800  0.1987  0.5533  0.1181  0.3800  0.0490  0.7533  0.0189
730  0.3867  0.0525  0.2867  0.2042  0.6000  0.0748  0.4933  0.0340  0.8467  0.0189  0.1067  0.1370  0.2667  0.1914  0.5467  0.0943  0.3933  0.0660  0.7133  0.0189
740  0.3267  0.0736  0.2400  0.1766  0.5667  0.0822  0.4333  0.0340  0.7933  0.0094  0.0667  0.0943  0.2467  0.1761  0.4867  0.0943  0.3200  0.0748  0.6667  0.0094
750  0.2800  0.0980  0.2067  0.1715  0.5533  0.0838  0.4267  0.0806  0.8000  0.0000  0.0533  0.0754  0.2333  0.1700  0.4933  0.1050  0.3267  0.0736  0.6867  0.0094
760  0.2200  0.1143  0.1733  0.1676  0.5000  0.0748  0.3667  0.0806  0.8000  0.0000  0.0400  0.0566  0.1933  0.1482  0.4333  0.0899  0.3200  0.0589  0.6267  0.0189
770  0.2133  0.1676  0.1800  0.2135  0.5600  0.0589  0.4333  0.0772  0.8400  0.0000  0.0200  0.0283  0.2000  0.1818  0.5000  0.0712  0.3867  0.0680  0.6667  0.0340
780  0.1867  0.2100  0.1800  0.2406  0.6067  0.0822  0.4733  0.0929  0.8800  0.0000  0.0067  0.0094  0.2000  0.2160  0.5400  0.0993  0.3733  0.0772  0.7467  0.0340
790  0.1933  0.2457  0.2000  0.2828  0.7000  0.0909  0.5800  0.0864  0.9400  0.0000  0.0000  0.0000  0.2000  0.2688  0.6400  0.1143  0.4267  0.1087  0.8400  0.0327
